report_date,supervisor,activity_code,wbs_code,wbs_name,qty_executed,unit,manpower_cost,equipment_cost,manpower_lines,equipment_lines,remarks
2026-03-04,ismaila,2.6.6(i)a,2.6,Pier,0.010,cu.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-03-04,vijaykumar,2.6.6(i)a,2.6,Pier,600.000,cu.m.,0,0,0,0,
2026-03-04,illayaraja,2.7.6 (i),2.7,Abutment,0.010,cu.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-03-04,kbarman,2.7.6 (i),2.7,Abutment,0.010,lin.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-03-04,parvaiz,2.7.6 (i),2.7,Abutment,0.010,cu.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-03-04,ismaila,3.2.6 (ii),3.2,Concrete RCC,415.000,cu.m.,500.00,17500.00,1,4,
2026-03-04,kbarman,3.2.6 (ii),3.2,Concrete RCC,0.010,cu.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-03-04,parvaiz,3.2.6 (ii),3.2,Concrete RCC,0.010,cu.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-03-04,saiffuddin,3.2.6 (ii)a,3.2,Concrete RCC,250.000,cu.m.,0,15000.00,0,2,
2026-03-04,illayaraja,5.1.7 (iii),5.1,Bearings,0.010,cu.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-03-04,kbarman,5.1.7 (iii),5.1,Bearings,0.010,cu.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-03-04,vijaykumar,5.1.7 (iii),5.1,Bearings,250.000,cu.m.,0,0,0,0,
2026-03-04,illayaraja,5.1.7 (iii)a,5.1,Bearings,0.010,sq.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-03-04,kbarman,5.1.7 (iii)a,5.1,Bearings,0.010,sq.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-03-04,kbarman,5.10.6 (i),5.10,Anchor Blocks,0.010,sq.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-03-04,parvaiz,5.10.6 (i),5.10,Anchor Blocks,0.010,cu.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-03-04,illayaraja,5.2.6 (ii),5.2,Expansion Joints,0.010,kg.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-03-04,anirban,5.2.6 (ii)a,5.2,Expansion Joints,117.000,kg.,900.00,0,1,0,
2026-03-04,kbarman,5.2.6 (ii)a,5.2,Expansion Joints,0.010,kg.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-03-04,illayaraja,9.1.6(ii),9.0,Approach Slab,25.000,cu.m.,6600.00,5000.00,2,2,
2026-03-04,ismaila,9.1.6(ii),9.0,Approach Slab,40.000,lin.m.,0,0,0,0,
2026-03-04,kbarman,9.1.6(ii),9.0,Approach Slab,0.010,sq.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-03-05,ismaila,1,1.0,Preliminaries,0.010,sq.m.,0,3000.00,0,1,Source qty=0 — resource deployment only (idle/no-output day)
2026-03-05,illayaraja,1.1,1.1,Site Establishment,0.010,lin.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-03-05,kbarman,1.1,1.1,Site Establishment,0.010,sq.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-03-05,parvaiz,1.1,1.1,Site Establishment,0.010,cu.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-03-05,saiffuddin,1.1,1.1,Site Establishment,21.000,m,1500.00,7300.00,1,3,
2026-03-05,vijaykumar,1.1,1.1,Site Establishment,0.010,sq.m.,0,3000.00,0,1,Source qty=0 — resource deployment only (idle/no-output day)
2026-03-05,anirban,13.1.7(ix)b,13.0,Drainage,24.000,lin.m.,5800.00,12000.00,2,1,
2026-03-05,kbarman,13.1.7(ix)b,13.0,Drainage,0.010,sq.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-03-05,anirban,13.1.7(ix)b2,13.0,Drainage,703.000,cu.m.,7700.00,0,2,0,
2026-03-05,kbarman,13.1.7(ix)b2,13.0,Drainage,352.000,kg.,8500.00,3000.00,4,1,
2026-03-05,illayaraja,18.3,18.3,Bituminous Layers,0.010,cu.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-03-05,kbarman,18.3.6,18.3,Bituminous Layers,0.010,lin.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-03-05,kbarman,18.3.6(i),18.3,Bituminous Layers,0.010,lin.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-03-05,parvaiz,18.3.6(i),18.3,Bituminous Layers,0.010,lin.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-03-05,ismaila,2.3.6(i),2.3,Bored Cast In-Situ Piling,0.010,cu.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-03-05,kbarman,2.3.6(i),2.3,Bored Cast In-Situ Piling,0.010,cu.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-03-05,anirban,2.3.6(i)a,2.3,Bored Cast In-Situ Piling,30.000,lin.m.,1000.00,3000.00,1,1,
2026-03-05,illayaraja,2.3.6(i)a,2.3,Bored Cast In-Situ Piling,300.000,cu.m.,1500.00,7500.00,1,2,
2026-03-05,ismaila,2.3.6(i)a,2.3,Bored Cast In-Situ Piling,1050.000,cu.m.,1700.00,11000.00,2,2,
2026-03-05,kbarman,2.3.6(i)a,2.3,Bored Cast In-Situ Piling,0.010,Sqm,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-03-05,parvaiz,2.3.6(i)a,2.3,Bored Cast In-Situ Piling,0.010,lin.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-03-05,vijaykumar,2.3.6(i)a,2.3,Bored Cast In-Situ Piling,600.000,cu.m.,6900.00,24000.00,3,3,
2026-03-05,illayaraja,2.3.6(i)b,2.3,Bored Cast In-Situ Piling,0.010,cu.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-03-05,ismaila,2.3.6(i)b,2.3,Bored Cast In-Situ Piling,0.010,cu.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-03-05,kbarman,2.3.6(i)b,2.3,Bored Cast In-Situ Piling,0.010,cu.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-03-05,saiffuddin,2.3.6(i)b,2.3,Bored Cast In-Situ Piling,850.000,cu.m.,3500.00,44000.00,2,3,
2026-03-05,vijaykumar,2.3.6(i)b,2.3,Bored Cast In-Situ Piling,3000.000,cu.m.,0,80000.00,0,3,
2026-03-05,illayaraja,2.3.6(i)d,2.3,Bored Cast In-Situ Piling,0.010,Sqm,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-03-05,kbarman,2.3.6(i)d,2.3,Bored Cast In-Situ Piling,0.010,Sqm,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-03-05,parvaiz,2.3.6(i)d,2.3,Bored Cast In-Situ Piling,0.010,cu.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-03-05,illayaraja,2.4.6(i),2.4,Pile Cap,130.000,cu.m.,0,8000.00,0,2,
2026-03-05,ismaila,2.4.6(i),2.4,Pile Cap,200.000,cu.m.,0,5000.00,0,1,
2026-03-05,kbarman,2.4.6(i),2.4,Pile Cap,180.000,cu.m.,2000.00,12500.00,1,2,
2026-03-05,parvaiz,2.4.6(i),2.4,Pile Cap,0.010,cu.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-03-05,sanjar,2.4.6(i),2.4,Pile Cap,0.010,trip,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-03-05,illayaraja,2.4.6(i)a,2.4,Pile Cap,0.010,cu.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-03-05,ismaila,2.4.6(i)a,2.4,Pile Cap,0.010,cu.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-03-05,sanjar,2.4.6(i)a,2.4,Pile Cap,0.010,cu.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-03-05,illayaraja,2.6.6(i),2.6,Pier,0.010,cu.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-03-05,ismaila,2.6.6(i),2.6,Pier,570.000,cu.m.,500.00,18500.00,1,4,
2026-03-05,kbarman,2.6.6(i),2.6,Pier,0.010,cu.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-03-05,parvaiz,2.6.6(i),2.6,Pier,0.010,cu.m.,0,0,0,0,Source qty=0 — resource deployment only (idle/no-output day)
2026-03-05,ismaila,2.6.6(i)a,2.6,Pier,450.000,cu.m.,500.00,14000.00,1,3,
